ID,Country,"GDP (nominal, 2017)",GDP growth,Population (2017),GDP per capita,Share of World GDP
1,United States,19485394000000,2.27%,325084756,"$59,939 ",24.08%
2,China,12237700479375,6.90%,1421021791,"$8,612 ",15.12%
3,Japan,4872415104315,1.71%,127502725,"$38,214 ",6.02%
4,Germany,3693204332230,2.22%,82658409,"$44,680 ",4.56%
5,India,2650725335364,6.68%,1338676785,"$1,980 ",3.28%
6,United Kingdom,2637866340434,1.79%,66727461,"$39,532 ",3.26%
7,France,2582501307216,1.82%,64842509,"$39,827 ",3.19%
8,Brazil,2053594877013,0.98%,207833823,"$9,881 ",2.54%
9,Italy,1943835376342,1.50%,60673701,"$32,038 ",2.40%
10,Canada,1647120175449,3.05%,36732095,"$44,841 ",2.04%
11,Russia,1578417211937,1.55%,145530082,"$10,846 ",1.95%
12,South Korea,1530750923149,3.06%,51096415,"$29,958 ",1.89%
13,Australia,1323421072479,1.96%,24584620,"$53,831 ",1.64%
14,Spain,1314314164402,3.05%,46647428,"$28,175 ",1.62%
15,Mexico,1150887823404,2.04%,124777324,"$9,224 ",1.42%
16,Indonesia,1015420587285,5.07%,264650963,"$3,837 ",1.25%
17,Turkey,851549299635,7.44%,81116450,"$10,498 ",1.05%
18,Netherlands,830572618850,3.16%,17021347,"$48,796 ",1.03%
19,Saudi Arabia,686738400000,-0.86%,33101179,"$20,747 ",0.85%
20,Switzerland,678965423322,1.09%,8455804,"$80,296 ",0.84%
21,Argentina,637430331479,2.85%,43937140,"$14,508 ",0.79%
22,Sweden,535607385506,2.29%,9904896,"$54,075 ",0.66%
23,Poland,526465839003,4.81%,37953180,"$13,871 ",0.65%
24,Belgium,494763551891,1.73%,11419748,"$43,325 ",0.61%
25,Thailand,455302682986,3.91%,69209810,"$6,579 ",0.56%
26,Iran,454012768724,3.76%,80673883,"$5,628 ",0.56%
27,Austria,416835975862,3.04%,8819901,"$47,261 ",0.52%
28,Norway,399488897844,1.92%,5296326,"$75,428 ",0.49%
29,United Arab Emirates,382575085092,0.79%,9487203,"$40,325 ",0.47%
30,Nigeria,375745486521,0.81%,190873244,"$1,969 ",0.46%
31,Israel,353268411919,3.33%,8243848,"$42,852 ",0.44%
32,South Africa,348871647960,1.32%,57009756,"$6,120 ",0.43%
33,Hong Kong,341449340451,3.79%,7306322,"$46,733 ",0.42%
34,Ireland,331430014003,7.80%,4753279,"$69,727 ",0.41%
35,Denmark,329865537183,2.24%,5732274,"$57,545 ",0.41%
36,Singapore,323907234412,3.62%,5708041,"$56,746 ",0.40%
37,Malaysia,314710259511,5.90%,31104646,"$10,118 ",0.39%
38,Colombia,314457601860,1.79%,48909839,"$6,429 ",0.39%
39,Philippines,313595208737,6.68%,105172925,"$2,982 ",0.39%
40,Pakistan,304951818494,5.70%,207906209,"$1,467 ",0.38%
41,Chile,277075944402,1.49%,18470439,"$15,001 ",0.34%
42,Finland,252301837573,2.63%,5511371,"$45,778 ",0.31%
43,Bangladesh,249723862487,7.28%,159685424,"$1,564 ",0.31%
44,Egypt,235369129338,4.18%,96442591,"$2,441 ",0.29%
45,Vietnam,223779865815,6.81%,94600648,"$2,366 ",0.28%
46,Portugal,219308128887,2.68%,10288527,"$21,316 ",0.27%
